brightness, histo, histo_eq
0, 0, 205
1, 0, 201
2, 0, 199
3, 0, 198
4, 0, 203
5, 0, 191
6, 0, 203
7, 0, 201
8, 0, 206
9, 0, 199
10, 0, 203
11, 0, 199
12, 0, 183
13, 0, 206
14, 0, 196
15, 0, 183
16, 0, 196
17, 0, 181
18, 0, 203
19, 0, 199
20, 1, 181
21, 0, 191
22, 0, 191
23, 2, 191
24, 4, 186
25, 8, 191
26, 15, 186
27, 25, 181
28, 55, 186
29, 86, 189
30, 112, 186
31, 160, 183
32, 202, 181
33, 281, 196
34, 341, 181
35, 420, 201
36, 528, 191
37, 611, 207
38, 709, 198
39, 885, 207
40, 1032, 207
41, 1282, 206
42, 1441, 209
43, 1617, 212
44, 1686, 214
45, 1905, 218
46, 1887, 217
47, 2000, 211
48, 2000, 213
49, 2072, 214
50, 2010, 208
51, 2025, 218
52, 1891, 212
53, 1884, 207
54, 1762, 201
55, 1714, 199
56, 1533, 171
57, 1442, 171
58, 1261, 183
59, 1268, 153
60, 1185, 126
61, 1098, 109
62, 970, 109
63, 978, 89
64, 910, 76
65, 883, 78
66, 823, 71
67, 802, 68
68, 742, 63
69, 803, 78
70, 842, 82
71, 816, 76
72, 785, 85
73, 878, 80
74, 859, 89
75, 870, 89
76, 872, 92
77, 867, 92
78, 957, 84
79, 888, 96
80, 979, 96
81, 906, 92
82, 835, 92
83, 976, 85
84, 940, 87
85, 953, 96
86, 958, 95
87, 996, 97
88, 1061, 95
89, 1158, 93
90, 1144, 92
91, 1166, 95
92, 1222, 97
93, 1253, 95
94, 1446, 92
95, 1466, 97
96, 1594, 93
97, 1855, 96
98, 1810, 95
99, 1934, 97
100, 1964, 84
101, 1899, 92
102, 2002, 90
103, 1872, 93
104, 1823, 96
105, 1689, 97
106, 1598, 107
107, 1539, 99
108, 1398, 97
109, 1441, 104
110, 1375, 117
111, 1334, 106
112, 1389, 97
113, 1376, 117
114, 1380, 110
115, 1413, 110
116, 1402, 121
117, 1455, 113
118, 1464, 110
119, 1627, 117
120, 1626, 119
121, 1604, 133
122, 1808, 126
123, 1827, 119
124, 2034, 117
125, 2097, 124
126, 2213, 137
127, 2352, 133
128, 2433, 135
129, 2368, 126
130, 2467, 137
131, 2304, 135
132, 2276, 126
133, 2050, 133
134, 1960, 131
135, 1910, 126
136, 1889, 143
137, 1925, 147
138, 2058, 141
139, 2043, 135
140, 2331, 135
141, 2302, 133
142, 2340, 126
143, 2391, 128
144, 2475, 139
145, 2431, 117
146, 2253, 133
147, 2271, 121
148, 2233, 141
149, 2193, 126
150, 2279, 133
151, 2303, 135
152, 2426, 126
153, 2671, 133
154, 2647, 126
155, 2719, 121
156, 2733, 143
157, 2583, 137
158, 2437, 143
159, 2256, 139
160, 2076, 128
161, 1911, 143
162, 1744, 128
163, 1644, 147
164, 1471, 133
165, 1430, 145
166, 1395, 139
167, 1288, 139
168, 1230, 135
169, 1193, 137
170, 1170, 135
171, 1244, 143
172, 1268, 143
173, 1229, 135
174, 1237, 139
175, 1263, 137
176, 1242, 147
177, 1164, 139
178, 1115, 135
179, 1039, 137
180, 953, 139
181, 819, 135
182, 748, 135
183, 662, 137
184, 637, 139
185, 641, 141
186, 597, 143
187, 663, 139
188, 625, 135
189, 712, 139
190, 787, 139
191, 777, 131
192, 809, 139
193, 873, 143
194, 909, 135
195, 962, 145
196, 956, 141
197, 836, 143
198, 850, 139
199, 867, 153
200, 839, 143
201, 916, 141
202, 832, 141
203, 900, 145
204, 921, 143
205, 952, 135
206, 969, 135
207, 1012, 139
208, 1092, 153
209, 1078, 135
210, 962, 135
211, 967, 153
212, 1019, 133
213, 870, 135
214, 705, 135
215, 573, 133
216, 468, 137
217, 395, 126
218, 368, 131
219, 326, 135
220, 255, 137
221, 212, 135
222, 211, 126
223, 173, 135
224, 121, 128
225, 104, 133
226, 72, 143
227, 66, 137
228, 33, 133
229, 31, 137
230, 24, 133
231, 16, 137
232, 8, 135
233, 9, 135
234, 3, 133
235, 4, 131
236, 3, 133
237, 0, 135
238, 0, 135
239, 1, 135
240, 0, 147
241, 1, 135
242, 0, 139
243, 0, 141
244, 1, 131
245, 1, 145
246, 0, 137
247, 0, 147
248, 0, 135
249, 0, 135
250, 0, 135
251, 0, 133
252, 0, 128
253, 0, 128
254, 0, 137
255, 0, 147
